job_title,location,salary,sector
Primrose Private Preschool Teacher Job in Houston,"Houston, TX 77098",9.00 - 13.00 $ /hour,Entry Level
Superintendent Job in Houston,"Houston, TX","80,000.00 - 95,000.00 $ /year",Building Construction/Skilled Trades
Technician - Robot & Multi-Axis CNC Field Service Job in Carter Lake,"Carter Lake, IA 51510","60,000.00 - 72,000.00 $ /year",Experienced (Non-Manager)
Sr. Process Engineer,"Sr. Process Engineer, Manufacturing","70,000.00 - 100,000.00 $ /year",Engineering
Machine Control Systems Engineer - BSEE Job in Aurora,"Aurora, IL 60502","75,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
RF System Technician,"RF System Technician, Field Service","68,000.00 - 72,000.00 $ /year",Engineering
Japanese and English Speaking Interpreter and Translator for Toyota Motor Mgf. Job in Charleston,"Charleston, WV","58,000.00 - 65,000.00 $ /year",Experienced (Non-Manager)
Office Administrator - Job in Denver,"Denver, CO 80237",Up to $32000.00,Experienced (Non-Manager)
Sales Consultant Job in Livermore,"Livermore, CA 94551","Salary, plus commission",Experienced (Non-Manager)
Upscale Casual Restaurant Managers- Gm - Agm - Chef - Foh- Up to k! Job in Houston,"Houston, TX","45,000.00 - 100,000.00 $ /yearBonus, Benefits, 401k",Manager (Manager/Supervisor of Staff)
Commercial Lines Account Manager Job in Ocean,"Ocean, NJ 07712","40,000.00 - 50,000.00 $ /yearsalary",Experienced (Non-Manager)
Local/Delivery Truck Driver Job in Denver,"Denver, CO 80216",13.75 - 16.75 $ /hourYear End Bonus,Experienced (Non-Manager)
Designer D Job in Bethlehem,"Bethlehem, PA 18017","35,000.00 - 45,000.00 $ /year",Experienced (Non-Manager)
Project Estimator - Roofing & Sheet Metal Job in Houston,"Houston, TX 77040","bonus, 401K matching, medical, vacation",Experienced (Non-Manager)
Customer Service Rep Job in Denver,"Denver, CO","31,000.00 - 33,000.00 $ /year",Experienced (Non-Manager)
Genesys Developer Job in Clutch City,"Clutch City, TX 77002",50.00 - 65.00 $ /hour,Experienced (Non-Manager)
Controls Engineer - Automation Vision Systems Job in Sacramento,"Sacramento, CA 95811","100,000.00 - 120,000.00 $ /year",Experienced (Non-Manager)
Maintenance Mechanic Job in Willoughby Hills,"Willoughby Hills, OH 44092",17.00 - 22.00 $ /hour,Experienced (Non-Manager)
Digital Copywriter Job in Fort Lauderdale,"Fort Lauderdale, FL","$50,000.00+ /year",Editorial/Writing
